Type,Volatility,STRIKE,CMP,risk_free,LTP,Expiry,,,,,,,,,,,,,,,
PE,11.37,19650,19751.05,0.0685,59.5,0.01369863,,,,,,,,,,,,,,,
PE,11.35,19700,19751.05,0.0685,76,0.01369863,,,,,,,,,,,,,,,
PE,11.39,19750,19751.05,0.0685,97.65,0.01369863,,,,,,,,,,,,,,,
PE,11.71,19800,19751.05,0.0685,125,0.01369863,,,,,,,,,,,,,,,
PE,12.21,19850,19751.05,0.0685,155.9,0.01369863,,,,,,,,,,,,,,,
PE,12.9,19900,19751.05,0.0685,194.4,0.01369863,,,,,,,,,,,,,,,
PE,13.56,19950,19751.05,0.0685,236.35,0.01369863,,,,,,,,,,,,,,,
PE,14.16,20000,19751.05,0.0685,277,0.01369863,,,,,,,,,,,,,,,
PE,15.12,20050,19751.05,0.0685,322,0.01369863,,,,,,,,,,,,,,,
PE,16.6,20100,19751.05,0.0685,371.9,0.01369863,,,,,,,,,,,,,,,
PE,18.01,20150,19751.05,0.0685,421.7,0.01369863,,,,,,,,,,,,,,,
PE,18.47,20200,19751.05,0.0685,465,0.01369863,,,,,,,,,,,,,,,
PE,20.52,20250,19751.05,0.0685,519.9,0.01369863,,,,,,,,,,,,,,,
PE,21.28,20300,19751.05,0.0685,566.1,0.01369863,,,,,,,,,,,,,,,
PE,20.37,20350,19751.05,0.0685,602.8,0.01369863,,,,,,,,,,,,,,,
PE,23.65,20400,19751.05,0.0685,664.95,0.01369863,,,,,,,,,,,,,,,
PE,18.37,20450,19751.05,0.0685,682.45,0.01369863,,,,,,,,,,,,,,,
PE,26.1,20500,19751.05,0.0685,764.9,0.01369863,,,,,,,,,,,,,,,
PE,34.45,20550,19751.05,0.0685,861.15,0.01369863,,,,,,,,,,,,,,,
PE,28.5,20600,19751.05,0.0685,865,0.01369863,,,,,,,,,,,,,,,
PE,27.73,20650,19751.05,0.0685,904.8,0.01369863,,,,,,,,,,,,,,,
PE,-,20700,19751.05,0.0685,863.1,0.01369863,,,,,,,,,,,,,,,
PE,-,20750,19751.05,0.0685,935.15,0.01369863,,,,,,,,,,,,,,,
PE,29.72,20800,19751.05,0.0685,1048.8,0.01369863,,,,,,,,,,,,,,,
PE,-,20850,19751.05,0.0685,1022.2,0.01369863,,,,,,,,,,,,,,,
PE,37.93,20900,19751.05,0.0685,1178.55,0.01369863,,,,,,,,,,,,,,,
PE,-,20950,19751.05,0.0685,-,0.01369863,,,,,,,,,,,,,,,
PE,37.07,21000,19751.05,0.0685,1262.8,0.01369863,,,,,,,,,,,,,,,
PE,-,21050,19751.05,0.0685,-,0.01369863,,,,,,,,,,,,,,,
PE,-,21100,19751.05,0.0685,-,0.01369863,,,,,,,,,,,,,,,
PE,-,21150,19751.05,0.0685,-,0.01369863,,,,,,,,,,,,,,,
PE,-,21200,19751.05,0.0685,-,0.01369863,,,,,,,,,,,,,,,
PE,-,21250,19751.05,0.0685,-,0.01369863,,,,,,,,,,,,,,,
PE,-,21300,19751.05,0.0685,-,0.01369863,,,,,,,,,,,,,,,
PE,-,21350,19751.05,0.0685,-,0.01369863,,,,,,,,,,,,,,,
PE,-,21400,19751.05,0.0685,-,0.01369863,,,,,,,,,,,,,,,
PE,-,21450,19751.05,0.0685,-,0.01369863,,,,,,,,,,,,,,,
PE,45.61,21500,19751.05,0.0685,1755.6,0.01369863,,,,,,,,,,,,,,,
PE,-,21550,19751.05,0.0685,-,0.01369863,,,,,,,,,,,,,,,
PE,-,21600,19751.05,0.0685,-,0.01369863,,,,,,,,,,,,,,,
PE,-,21650,19751.05,0.0685,-,0.01369863,,,,,,,,,,,,,,,
PE,49.89,21700,19751.05,0.0685,1957.15,0.01369863,,,,,,,,,,,,,,,
